Organisation,Strategic Sprint,Release Manager,Team Leader,Board Member,Podcast Host,WPD Event,WPD Talk,Conference Organization,Training Session,Total Points
kitconcept GmbH,12.0,24.0,3.0,0,3.0,3.0,4.0,0,21.0,70.0
University of Jyväskylä,0,0,0,6.0,0,3.0,3.0,24.0,6.0,42.0
RedTurtle,12.0,0,3.0,0,0,3.0,2.0,0,3.0,23.0
Juizi,0,0,6.0,0,0,0,4.0,0,9.0,19.0
PY76,0,12.0,6.0,0,0,0,0,0,0,18.0
Eau de Web,12.0,0,0,0,0,0,3.0,0,0,15.0
Independent,0,0,0,12.0,0,0,1.0,0,0,13.0
Klein & Partner KG,12.0,0,0,0,0,0,1.0,0,0,13.0
UNAM,12.0,0,0,0,0,0,0,0,0,12.0
Starzel,0,0,0,0,3.0,0,0,0,6.0,9.0
Nuclia,0,0,0,6.0,0,0,1.0,0,0,7.0
Affinitic,0,0,0,6.0,0,0,0,0,0,6.0
Federal Senate (Interlegis Program),0,0,0,6.0,0,0,0,0,0,6.0
Interlegis Program (Federal Senate),0,0,0,6.0,0,0,0,0,0,6.0
KU Leuven,0,0,0,0,0,0,0,0,6.0,6.0
Kombinat,0,0,6.0,0,0,0,0,0,0,6.0
Mathematics Institute UNAM,0,0,0,6.0,0,0,0,0,0,6.0
CMS Communications Inc.,0,0,0,0,0,3.0,1.0,0,0,4.0
Plone Foundation,0,0,0,0,0,0,4.0,0,0,4.0
Simples Consultoria,0,0,0,0,0,3.0,1.0,0,0,4.0
CCC,0,0,0,0,0,0,0,0,3.0,3.0
Codesyntax,0,0,0,0,0,0,2.0,0,0,2.0
PloneGov-BR,0,0,0,0,0,0,2.0,0,0,2.0
AUSL Romagna,0,0,0,0,0,0,1.0,0,0,1.0
Er.GO,0,0,0,0,0,0,1.0,0,0,1.0
Giallocobalto,0,0,0,0,0,0,1.0,0,0,1.0
IRR,0,0,0,0,0,0,1.0,0,0,1.0
LMU,0,0,0,0,0,0,1.0,0,0,1.0
Plone Foundation (community volunteer),0,0,0,0,0,0,1.0,0,0,1.0
Quaive,0,0,0,0,0,0,1.0,0,0,1.0
RIOS (Rete Italiana Open Source),0,0,0,0,0,0,1.0,0,0,1.0
Regione Emilia-Romagna,0,0,0,0,0,0,1.0,0,0,1.0
Senado Federal,0,0,0,0,0,0,1.0,0,0,1.0
Università di Macerata,0,0,0,0,0,0,1.0,0,0,1.0
eCityclic,0,0,0,0,0,0,1.0,0,0,1.0
iMio,0,0,0,0,0,0,1.0,0,0,1.0
